idx	nNN	NNindex	a	b	aNN	bNN	processID	NNprocessID
4395	0	4767	-1.56940272280533	-2.75414664432228	-1.39549856280426	-2.52824289258759	3	3
5436	0	6269	3.73672319405409	13.905215737818	3.19718160361349	13.2825015498999	0	1
2973	0	2831	-8.31558155651344	17.5109392666394	-8.29898359111197	18.3748298655195	1	3
5194	0	6853	13.3626156948114	0.68082029305846	14.189201432917	0.748125947276513	2	1
6210	0	5811	12.0600885975588	-4.95901873937727	11.7975309822825	-5.32584741211183	2	3
6016	0	6831	15.1050256773146	-1.82624943631481	15.0696777914094	-2.35443416070968	0	3
3745	0	4370	-16.8892450347021	-10.6383636392678	-17.8586807909108	-10.947924386101	1	2
6828	0	5989	8.05306330163414	-16.5907391704132	8.21160859067722	-16.9655834143059	0	1
3776	0	4180	-8.38822824027162	3.5870715445624	-7.93510445250223	4.70662044873838	0	0
6176	0	4945	3.2879058270928	-15.525276693749	3.56712276606665	-15.5849577175844	0	1
5996	0	6591	13.5498796362359	-10.5727333790581	12.9515132053546	-11.3133289865666	0	3
5366	0	5378	4.6583431233703	-18.8137110495869	4.54737664992787	-18.969604081901	2	2
3936	0	5143	-13.4476229753925	-19.7318283849324	-13.789200837348	-20.1036703002286	0	3
4620	0	3539	-8.65968396726384	2.12966183292836	-9.21598616177898	2.01540507592323	0	3
5176	0	4545	8.20251931741869	-2.13893954985786	7.50355507605833	-2.51270999115867	0	1
5828	0	4643	4.98551995543511	13.9766449919571	5.08609791215287	14.3194232442687	0	3
3381	0	5428	-19.3842093940018	7.19881931295157	-18.8012392031255	7.05282237291858	1	0
5629	0	5051	8.64907926426475	19.5708173993584	8.51972614159861	19.2387902989483	1	3
7467	0	6464	19.2770626528242	6.56050983511797	19.6987374688512	6.28055107775554	3	0
5648	0	6419	6.79175643369576	9.7190470498709	7.04836149783183	10.0303792186993	0	3
4805	0	3809	-10.128388391329	18.9162418225582	-10.2071139597289	19.012497020051	1	1
5145	0	5142	5.58946834157017	-16.4358163214144	6.04150670511102	-15.6762967760127	1	2
6459	0	6634	19.9325429428362	2.63901741848176	19.1800825137716	2.32645457822755	3	2
6194	0	4730	17.4547227239262	-19.6508407714055	17.6954964603324	-19.2455352872082	2	2
5210	0	4804	3.60205565714469	9.57876286533377	3.93512676249741	9.89190284964475	2	0
5016	0	4791	0.0975070682930483	-3.78265678038749	0.236787373039366	-4.08930829616062	0	3
4339	0	4571	-10.6368981564206	-16.7708093484708	-10.8495903781836	-16.0506231846129	3	3
6436	0	6155	6.90287860129712	-12.4109103779672	7.17482580040524	-11.8826705771436	0	3
4773	0	5806	10.6080915595608	-10.7480788186813	9.84484144492013	-10.8760062577331	1	2
5988	0	6789	17.0920692124756	-18.8314774210264	17.0604687019852	-18.6312637562289	0	1
4965	0	5164	1.62807864720277	-14.3056201493814	2.02844155585727	-14.4414416274586	1	0
